S.No.,transformer,Date & Time Stamp,V(R),V(Y),V(B),VRB,VRY,VYB,I(R),I(Y),I(B),kW,kVA,PF(R),PF(Y),PF(B),THD(V-R),THD(V-Y),THD(V-B),THD(I-R),THD(I-Y),THD(I-B),FREQUENCY,Frwd.kWh,REV.ACTENERGY,FRWD.APPENERGY,FRWD.REACTENERGY,kVA-R,kVA-Y,kVA-B,KVAH.FWD,KVAH.REV,kVAr-R,KVARH.LAG.FWD,KVARH.LAG.REV,KVARH.LEAD.FWD,KVARH.LEAD.REV,kVAr-Y,kVAr-B,kWH-Fwd,KWH.REV,kW-R,kW-Y,kW-B,kVA,REV.APPENERGY,REV.REACTENERGY,TOT.kVAh,TOT.KVARH.LEG,TOT.kWh/Fwd.kWh/Active Energy Sent Out,,TEMP4,TOT.KVAH,TOT.KVARH.LEG,TOT.KWH
379,SNO1000005,15-09-2022 07:39,237.2,234.5,236.7,62.6,109.5,69.3,56,56.4,0.98,1,0.99,1.7,1.9,1.8,1.07,0.99,1.07,415,405,409,49.9,"8,97,560.30",-,"9,10,303.34","1,38,77,808.00",1.63,"9,10,30,330.00",4,2.63,14.7,"1,38,77,808.00",3,"21,047.00","54,397.00",14.7,14.7,3,16.19,"8,97,56,013.00",-,14.47,25.34,1,7.26,4,3,8.37,6.85,8.54,652.72,"9,10,303.34","1,38,106.76","8,97,560.30"
380,SNO1000005,15-09-2022 07:36,238,233.4,236.7,59.7,111.4,59.8,53.65,53.7,1,0.99,1,2,1.7,1.9,1.2,1.2,1.2,418,405,408,49.8,"8,97,557.89",-,"9,10,300.92","1,38,77,785.00",1.45,"9,10,30,087.00",4,1.21,14,"1,38,77,785.00",3,"21,047.00","29,435.00",14,14,2.2,13.93,"8,97,55,772.00",-,14.02,25.7,2,4.86,4,3,15.06,9.89,15.88,652.89,"9,10,300.92","1,38,106.52","8,97,557.89"
381,SNO1000005,15-09-2022 07:34,238.4,234.7,235.6,63.1,90.2,79,54.01,54.2,0.99,0.99,0.99,1.7,1.9,2.1,1.22,1.24,0.91,417,406,408,49.9,"8,97,555.59",-,"9,10,298.60","1,38,77,757.00",2.05,"9,10,29,856.00",4,1.69,14.9,"1,38,77,757.00",3,"21,047.00","7,945.00",14.9,14.9,2.59,18.38,"8,97,55,542.00",-,14.81,20.81,2,6.33,4,3,10.02,7.59,10.34,652.89,"9,10,298.60","1,38,106.24","8,97,555.59"
382,SNO1000005,15-09-2022 07:31,238.7,235.5,235.7,64.5,90.1,100.9,59.44,59.9,0.98,1,0.99,2.1,2,2.3,0.94,1.21,0.75,417,407,409,49.9,"8,97,553.07",-,"9,10,296.06","1,38,77,723.00",1.71,"9,10,29,602.00",4,2.96,15.2,"1,38,77,723.00",3,"21,047.00","8,413.00",15.2,15.2,3.11,23.66,"8,97,55,290.00",-,14.99,20.79,2,7.78,4,3,13.66,9,14.38,653.01,"9,10,296.06","1,38,105.91","8,97,553.07"
383,SNO1000005,15-09-2022 07:28,238.5,235.2,235.1,70.1,83.2,101.5,59.34,59.6,0.99,1,0.99,2.1,1.9,1.9,1.01,1.36,0.71,415,405,411,49.9,"8,97,550.43",-,"9,10,293.40","1,38,77,688.00",1.37,"9,10,29,335.00",4,2.43,16.6,"1,38,77,688.00",3,"21,047.00","63,229.00",16.6,16.6,2.75,23.74,"8,97,55,026.00",-,16.42,19.18,1,6.54,4,3,8.75,5.82,9.6,652.59,"9,10,293.40","1,38,105.55","8,97,550.43"
384,SNO1000005,15-09-2022 07:27,237.8,235.4,235.9,80.2,92.3,88.8,60.8,61.2,0.99,1,0.99,2.2,2,1.7,0.85,1.33,0.82,416,404,411,49.9,"8,97,546.59",-,"9,10,289.52","1,38,77,643.00",1.53,"9,10,28,948.00",4,2.38,18.9,"1,38,77,643.00",3,"21,047.00","45,414.00",18.9,18.9,3.73,20.78,"8,97,54,642.00",-,18.82,21.21,1,7.63,4,3,8.75,5.82,9.6,652.59,"9,10,289.52","1,38,105.10","8,97,546.59"
385,SNO1000005,15-09-2022 07:24,237.8,235.4,235.9,80.2,92.3,88.8,60.8,61.2,0.99,1,0.99,2.2,2,1.7,0.85,1.33,0.82,416,404,411,49.9,"8,97,546.59",-,"9,10,289.52","1,38,77,643.00",1.53,"9,10,28,948.00",4,2.38,18.9,"1,38,77,643.00",3,"21,047.00","45,414.00",18.9,18.9,3.73,20.78,"8,97,54,642.00",-,18.82,21.21,1,7.63,4,3,8.75,5.82,9.6,652.59,"9,10,289.52","1,38,105.10","8,97,546.59"
386,SNO1000005,15-09-2022 07:22,237.1,235.9,235.6,64.6,82.7,73.7,51.14,51.7,0.99,1,0.99,2.6,2.2,1.5,2.14,1.2,1.29,416,404,411,50,"8,97,544.19",-,"9,10,287.10","1,38,77,612.00",1.7,"9,10,28,705.00",4,2.65,15.2,"1,38,77,612.00",3,"21,047.00","24,136.00",15.2,15.2,3.34,17.14,"8,97,54,401.00",-,14.97,19.02,2,7.68,4,3,4.19,3.29,4.87,652.56,"9,10,287.10","1,38,104.79","8,97,544.19"
387,SNO1000005,15-09-2022 07:19,237.4,236.6,236.6,69.2,73.5,71.8,49.96,50.1,0.99,0.99,0.99,2,1.9,2.4,1.16,1.4,0.91,417,407,410,50,"8,97,542.00",-,"9,10,284.89","1,38,77,582.00",2.13,"9,10,28,485.00",4,2.12,16.2,"1,38,77,582.00",3,"21,047.00","51,898.00",16.2,16.2,1.82,16.74,"8,97,54,183.00",-,16.15,17.07,1,6.06,4,3,6.85,4.54,7.78,652.57,"9,10,284.89","1,38,104.49","8,97,542.00"
388,SNO1000005,15-09-2022 07:17,238.4,237,236.6,60.7,81.8,88.9,54.17,54.4,0.99,1,1,1.7,2.1,1.9,1.13,1.25,0.71,416,407,413,49.9,"8,97,538.24",-,"9,10,281.10","1,38,77,540.00",1.51,"9,10,28,106.00",4,2.37,14.3,"1,38,77,540.00",3,"21,047.00","18,078.00",14.3,14.3,1.58,20.88,"8,97,53,807.00",-,14.15,19.14,1,5.46,4,3,8.08,5.4,8.97,652.59,"9,10,281.10","1,38,104.07","8,97,538.24"
389,SNO1000005,15-09-2022 07:15,238.4,237,236.6,60.7,81.8,88.9,54.17,54.4,0.99,1,1,1.7,2.1,1.9,1.13,1.25,0.71,416,407,413,49.9,"8,97,538.24",-,"9,10,281.10","1,38,77,540.00",1.51,"9,10,28,106.00",4,2.37,14.3,"1,38,77,540.00",3,"21,047.00","18,078.00",14.3,14.3,1.58,20.88,"8,97,53,807.00",-,14.15,19.14,1,5.46,4,3,8.08,5.4,8.97,652.59,"9,10,281.10","1,38,104.07","8,97,538.24"
390,SNO1000005,15-09-2022 07:12,238.3,236.6,236.7,59.4,90.1,80.5,53.85,54,0.99,0.99,1,1.7,1.8,1.8,1.23,1.16,0.67,416,408,410,49.9,"8,97,535.85",-,"9,10,278.70","1,38,77,515.00",2.08,"9,10,27,866.00",4,1.72,14,"1,38,77,515.00",3,"21,047.00","49,322.00",14,14,1.61,18.87,"8,97,53,568.00",-,13.91,21.07,2,5.41,4,3,11.72,7.28,12.78,652.59,"9,10,278.70","1,38,103.82","8,97,535.85"
391,SNO1000005,15-09-2022 04:49,245.2,244,243.5,76.2,70.2,73.1,52.75,53,0.99,0.99,0.99,1.6,1.8,1.9,0.9,1.19,0.96,430,419,425,50,"8,97,400.49",-,"9,10,141.48","1,38,75,396.00",2.29,"9,10,14,144.00",4,2.42,18.5,"1,38,75,396.00",3,"21,047.00","31,850.00",18.5,18.5,2.52,17.53,"8,97,40,032.00",-,18.41,16.8,2,7.23,4,3,654.91,655.23,0.4,652.35,"9,10,141.48","1,38,082.63","8,97,400.49"
392,SNO1000005,15-09-2022 04:27,245.7,243.3,243.5,72.7,101.1,78.3,60.42,61,0.99,1,0.98,2,1.9,1.8,1.02,1,0.91,428,420,422,50.1,"8,97,378.88",-,"9,10,119.61","1,38,75,066.00",1.8,"9,10,11,957.00",4,2.96,17.7,"1,38,75,066.00",3,"21,047.00","20,667.00",17.7,17.7,4.23,18.87,"8,97,37,871.00",-,17.48,24.08,2,8.99,4,3,654.55,654.9,0.06,652.28,"9,10,119.61","1,38,079.34","8,97,378.88"
393,SNO1000005,15-09-2022 03:56,245.8,243.3,243.2,63.1,93.5,89.9,59.09,59.5,0.99,0.99,0.99,1.8,1.7,1.8,0.99,1.11,0.89,428,418,425,50.1,"8,97,350.46",-,"9,10,090.79","1,38,74,606.00",2.93,"9,10,09,075.00",4,1.79,15.3,"1,38,74,606.00",3,"21,047.00","40,828.00",15.3,15.3,3.78,21.55,"8,97,35,029.00",-,15.29,22.25,2,8.5,4,3,654.68,655.07,0.17,652.28,"9,10,090.79","1,38,074.74","8,97,350.46"
394,SNO1000005,15-09-2022 03:42,245.5,242.1,243.4,77.8,103.5,80.8,62.6,63.3,0.99,0.99,0.99,1.9,1.9,1.9,0.86,0.99,0.92,428,419,422,50,"8,97,336.53",-,"9,10,076.71","1,38,74,404.00",3.18,"9,10,07,666.00",4,3.27,18.9,"1,38,74,404.00",3,"21,047.00","30,672.00",18.9,18.9,3.88,19.28,"8,97,33,636.00",-,18.7,24.61,2,10.34,4,3,654.68,655.07,0.17,652.28,"9,10,076.71","1,38,072.72","8,97,336.53"
395,SNO1000005,15-09-2022 02:28,243,240.5,241.1,107.2,90.4,97.9,70.11,70.8,0.99,0.99,0.99,2.1,1.7,1.8,0.83,1.27,0.93,425,416,418,50,"8,97,265.92",-,"9,10,005.16","1,38,73,291.00",3.48,"9,10,00,512.00",4,3.61,25.9,"1,38,73,291.00",3,"21,047.00","57,269.00",25.9,25.9,3.75,23.2,"8,97,26,575.00",-,25.69,21.23,2,10.84,4,3,654.78,655.19,0.24,652.3,"9,10,005.16","1,38,061.63","8,97,265.92"
396,SNO1000005,15-09-2022 02:22,242.1,240.2,240.7,123.3,104.5,77.6,72.09,73.1,1,0.99,0.97,1.6,1.6,1.5,0.74,1.17,1.05,425,413,419,49.9,"8,97,258.77",-,"9,09,997.89","1,38,73,165.00",3.14,"9,09,99,785.00",4,2.91,29.7,"1,38,73,165.00",3,"21,047.00","46,075.00",29.7,29.7,5.79,18.27,"8,97,25,860.00",-,29.59,24.22,1,11.84,4,3,654.48,654.91,655.32,652.28,"9,09,997.89","1,38,060.37","8,97,258.77"
397,SNO1000005,15-09-2022 02:10,242,240.6,240.8,109.5,85.8,91.6,67.7,68.7,0.99,0.98,0.98,1.8,1.9,1.8,0.73,1.28,1.06,425,413,419,50,"8,97,244.29",-,"9,09,983.20","1,38,72,933.00",4.05,"9,09,98,316.00",4,3.29,26.4,"1,38,72,933.00",3,"21,047.00","27,896.00",26.4,26.4,4.45,21.54,"8,97,24,412.00",-,26.21,19.95,1,11.79,4,3,654.48,654.91,655.32,652.28,"9,09,983.20","1,38,058.05","8,97,244.29"
398,SNO1000005,15-09-2022 01:52,241.6,240.2,240.6,100.8,85,77.1,61.93,62.8,1,0.98,0.97,1.5,1.4,1.5,0.79,1.12,1.06,424,414,417,50,"8,97,222.19",-,"9,09,960.77","1,38,72,564.00",3.47,"9,09,96,073.00",4,2.19,24.2,"1,38,72,564.00",3,"21,047.00","22,475.00",24.2,24.2,4.65,18.08,"8,97,22,202.00",-,24.14,19.72,1,10.3,4,3,654.48,654.91,655.32,652.26,"9,09,960.77","1,38,054.36","8,97,222.19"
399,SNO1000005,15-09-2022 01:32,241.3,239.6,239.6,114.5,99,97.4,73.14,74.1,0.99,0.98,0.98,1.8,1.7,1.8,0.66,1.16,1.01,423,411,418,50,"8,97,198.43",-,"9,09,936.65","1,38,72,168.00",4.44,"9,09,93,661.00",4,2.89,27.5,"1,38,72,168.00",3,"21,047.00","27,861.00",27.5,27.5,4.97,22.75,"8,97,19,826.00",-,27.38,23.01,2,12.29,4,3,654.6,654.99,0.06,652.26,"9,09,936.65","1,38,050.40","8,97,198.43"
400,SNO1000005,15-09-2022 01:19,240.9,239.3,239.9,107.2,114.3,86.9,72.38,73.4,1,0.98,0.97,1.6,1.5,1.6,0.84,1.05,1.02,422,412,416,50,"8,97,180.37",-,"9,09,918.34","1,38,71,873.00",3.94,"9,09,91,829.00",4,2.53,25.7,"1,38,71,873.00",3,"21,047.00","41,236.00",25.7,25.7,6.09,20.32,"8,97,18,020.00",-,25.59,26.47,2,12.56,4,3,654.6,654.99,0.06,652.28,"9,09,918.34","1,38,047.45","8,97,180.37"
401,SNO1000005,15-09-2022 01:12,241.8,238.6,239.8,118.5,124.6,121.3,85.96,86.9,1,0.98,0.98,1.9,1.8,1.8,0.89,0.95,0.89,421,412,415,50,"8,97,173.26",-,"9,09,911.12","1,38,71,755.00",5.22,"9,09,91,108.00",4,2.15,28.5,"1,38,71,755.00",3,"21,047.00","40,821.00",28.5,28.5,5.5,28.48,"8,97,17,309.00",-,28.44,29.04,2,12.88,4,3,654.55,654.96,0.01,652.28,"9,09,911.12","1,38,046.27","8,97,173.26"
402,SNO1000005,15-09-2022 01:02,240.3,238.9,238.5,122.3,108.4,116.3,81.46,82.4,0.99,0.99,0.98,1.6,1.4,1.6,0.73,1.08,0.9,422,409,416,50,"8,97,159.82",-,"9,09,897.48","1,38,71,531.00",4.54,"9,09,89,743.00",4,3.14,29.2,"1,38,71,531.00",3,"21,047.00","39,307.00",29.2,29.2,5.39,27.21,"8,97,15,965.00",-,29.09,25.16,2,13.07,4,3,654.6,655,0.06,652.28,"9,09,897.48","1,38,044.03","8,97,159.82"
403,SNO1000005,15-09-2022 00:58,240.4,238.4,239.1,114.5,111.6,98,76.19,77,0.99,0.99,0.98,1.6,1.5,1.7,0.8,1.09,1.07,422,409,417,50,"8,97,156.31",-,"9,09,893.93","1,38,71,478.00",3.43,"9,09,89,389.00",4,3.1,27.4,"1,38,71,478.00",3,"21,047.00","35,442.00",27.4,27.4,5.03,23.02,"8,97,15,614.00",-,27.24,25.93,2,11.57,4,3,654.62,655.03,0.08,652.28,"9,09,893.93","1,38,043.50","8,97,156.31"
404,SNO1000005,15-09-2022 00:56,240.3,238.3,238.6,106.9,115.2,116.5,78.98,80.3,0.99,0.98,0.97,1.8,1.7,1.9,0.86,1.19,0.82,422,411,414,50,"8,97,153.01",-,"9,09,890.57","1,38,71,419.00",5.81,"9,09,89,053.00",4,3.03,25.5,"1,38,71,419.00",3,"21,047.00","5,503.00",25.5,25.5,6,27.04,"8,97,15,284.00",-,25.38,26.57,2,14.83,4,3,654.68,655.12,0.13,652.29,"9,09,890.57","1,38,042.91","8,97,153.01"
405,SNO1000005,15-09-2022 00:51,240,237.5,238.3,103.2,115,104.6,75.44,76.4,0.99,0.99,0.98,1.8,1.8,1.9,0.85,1.17,0.97,422,410,413,49.9,"8,97,147.19",-,"9,09,884.67","1,38,71,323.00",3.8,"9,09,88,462.00",4,2.8,24.6,"1,38,71,323.00",3,"21,047.00","33,442.00",24.6,24.6,5.89,24.5,"8,97,14,702.00",-,24.48,26.46,2,12.48,4,3,655.14,0.07,0.58,652.3,"9,09,884.67","1,38,041.95","8,97,147.19"
406,SNO1000005,15-09-2022 00:49,239.8,237.9,238,121.7,98.1,118.9,79.27,80.2,0.99,0.98,0.98,1.9,1.7,1.8,0.86,1.31,0.79,421,410,413,50,"8,97,143.90",-,"9,09,881.34","1,38,71,269.00",5.06,"9,09,88,129.00",4,3.21,29,"1,38,71,269.00",3,"21,047.00","48,945.00",29,29,4.42,27.72,"8,97,14,373.00",-,28.86,22.69,1,12.69,4,3,654.41,654.88,655.22,652.28,"9,09,881.34","1,38,041.41","8,97,143.90"
407,SNO1000005,15-09-2022 00:46,239.3,237.9,238,110.7,114.2,118.6,80.39,81.3,1,0.99,0.97,1.1,1.5,1.6,0.85,1.06,0.82,421,410,413,50,"8,97,140.64",-,"9,09,878.04","1,38,71,224.00",4.41,"9,09,87,799.00",4,1.46,26.3,"1,38,71,224.00",3,"21,047.00","6,679.00",26.3,26.3,6.04,27.76,"8,97,14,047.00",-,26.33,26.3,1,11.91,4,3,654.41,654.88,655.22,652.28,"9,09,878.04","1,38,040.96","8,97,140.64"
408,SNO1000005,15-09-2022 00:44,239.4,237.6,238,116,106.8,106.7,76.87,77.9,0.99,0.98,0.98,1.8,1.6,1.6,0.85,1.23,0.85,419,410,413,50,"8,97,137.17",-,"9,09,874.52","1,38,71,166.00",4.48,"9,09,87,447.00",4,4.04,27.6,"1,38,71,166.00",3,"21,047.00","22,583.00",27.6,27.6,5,24.87,"8,97,13,700.00",-,27.33,24.67,1,13.52,4,3,654.5,654.91,655.32,652.28,"9,09,874.52","1,38,040.38","8,97,137.17"
409,SNO1000005,15-09-2022 00:41,239.2,237.5,237.8,121.9,106.9,116.2,80.6,81.6,0.99,0.98,0.98,1.6,1.5,1.5,0.8,1.19,0.69,420,410,412,50,"8,97,133.82",-,"9,09,871.12","1,38,71,109.00",5.08,"9,09,87,107.00",4,3.17,29,"1,38,71,109.00",3,"21,047.00","47,455.00",29,29,4.98,27.06,"8,97,13,365.00",-,28.86,24.68,1,13.23,4,3,654.43,654.86,655.24,652.28,"9,09,871.12","1,38,039.81","8,97,133.82"
410,SNO1000005,15-09-2022 00:39,239.6,237.6,238.5,99.1,118.7,105,75.69,76.5,1,0.99,0.98,1.3,1.3,1.3,0.84,0.98,0.82,419,410,413,50,"8,97,130.39",-,"9,09,867.64","1,38,71,059.00",3.88,"9,09,86,760.00",4,2.22,23.6,"1,38,71,059.00",3,"21,047.00","35,501.00",23.6,23.6,5.14,24.62,"8,97,13,022.00",-,23.52,27.55,1,11.23,4,3,654.37,654.86,655.18,652.28,"9,09,867.64","1,38,039.31","8,97,130.39"
411,SNO1000005,15-09-2022 00:36,240.5,237,238.4,104.6,118.7,100.5,76.17,76.7,1,0.99,0.99,1.6,1.7,1.5,0.82,0.99,1.06,422,410,413,50,"8,97,127.17",-,"9,09,864.39","1,38,71,019.00",2.84,"9,09,86,435.00",4,1.3,25,"1,38,71,019.00",3,"21,047.00","43,811.00",25,25,4.86,23.66,"8,97,12,699.00",-,25.01,27.5,2,8.99,4,3,654.62,655,0.08,652.28,"9,09,864.39","1,38,038.91","8,97,127.17"
412,SNO1000005,15-09-2022 00:33,240.2,237.2,238.6,109.2,119.9,113.8,80.6,81.3,1,0.99,0.99,1.3,1.7,1.8,0.84,1.18,0.78,422,408,415,50,"8,97,123.83",-,"9,09,861.02","1,38,70,978.00",3.69,"9,09,86,098.00",4,2.32,26.1,"1,38,70,978.00",3,"21,047.00","53,578.00",26.1,26.1,4.72,26.78,"8,97,12,366.00",-,26.01,27.82,2,10.73,4,3,654.55,654.96,-,652.28,"9,09,861.02","1,38,038.50","8,97,123.83"
413,SNO1000005,15-09-2022 00:31,239.6,237,237.9,115.5,123.9,109.5,81.89,82.5,1,0.99,0.99,1.6,1.7,1.7,0.67,1.11,0.82,418,410,412,50,"8,97,118.20",-,"9,09,855.34","1,38,70,904.00",3.66,"9,09,85,530.00",4,2.45,27.5,"1,38,70,904.00",3,"21,047.00","34,697.00",27.5,27.5,4.82,25.66,"8,97,11,803.00",-,27.47,28.76,2,10.93,4,3,654.53,654.96,-,652.28,"9,09,855.34","1,38,037.76","8,97,118.20"
414,SNO1000005,15-09-2022 00:29,239.6,237,237.9,115.5,123.9,109.5,81.89,82.5,1,0.99,0.99,1.6,1.7,1.7,0.67,1.11,0.82,418,410,412,50,"8,97,118.20",-,"9,09,855.34","1,38,70,904.00",3.66,"9,09,85,530.00",4,2.45,27.5,"1,38,70,904.00",3,"21,047.00","34,697.00",27.5,27.5,4.82,25.66,"8,97,11,803.00",-,27.47,28.76,2,10.93,4,3,654.53,654.96,-,652.28,"9,09,855.34","1,38,037.76","8,97,118.20"
415,SNO1000005,15-09-2022 00:27,239.9,237.1,238,110.3,126,118.5,83.15,83.9,1,0.99,0.98,1.5,1.3,1.6,0.82,1.09,0.69,419,410,413,50,"8,97,114.56",-,"9,09,851.67","1,38,70,855.00",4.65,"9,09,85,163.00",4,2.28,26.3,"1,38,70,855.00",3,"21,047.00","9,850.00",26.3,26.3,5.28,27.71,"8,97,11,439.00",-,26.25,29.19,1,12.21,4,3,654.5,654.94,655.32,652.28,"9,09,851.67","1,38,037.27","8,97,114.56"
416,SNO1000005,15-09-2022 00:24,240.3,236.7,238,97.7,121.4,95.4,73.97,74.2,1,0.99,0.99,1.7,1.5,1.5,0.81,1.23,0.83,420,408,414,50,"8,97,111.16",-,"9,09,848.23","1,38,70,809.00",2.98,"9,09,84,819.00",4,1.16,23.3,"1,38,70,809.00",3,"21,047.00","29,589.00",23.3,23.3,3.69,22.39,"8,97,11,099.00",-,23.34,28.23,2,7.84,4,3,654.65,655.08,0.11,652.28,"9,09,848.23","1,38,036.81","8,97,111.16"
417,SNO1000005,15-09-2022 00:21,239.8,236.6,237.4,100.3,119,114.6,78.42,78.9,1,0.99,0.99,1.8,1.2,1.4,0.79,1.13,0.76,418,407,413,50,"8,97,106.92",-,"9,09,843.96","1,38,70,766.00",3.48,"9,09,84,392.00",4,0.6,23.9,"1,38,70,766.00",3,"21,047.00","46,554.00",23.9,23.9,4.3,26.88,"8,97,10,675.00",-,23.93,27.61,2,8.38,4,3,655.08,-,0.51,652.3,"9,09,843.96","1,38,036.38","8,97,106.92"
418,SNO1000005,15-09-2022 00:18,239.8,236.2,236.9,92.8,133.2,113.6,79.01,80.1,1,0.98,0.98,1.5,1.5,1.6,0.79,1.07,0.76,417,407,412,50,"8,97,103.42",-,"9,09,840.43","1,38,70,713.00",5.54,"9,09,84,038.00",4,2.02,22.1,"1,38,70,713.00",3,"21,047.00","45,095.00",22.1,22.1,5.65,26.22,"8,97,10,325.00",-,22.05,30.74,1,13.2,4,3,654.38,654.85,655.19,652.28,"9,09,840.43","1,38,035.85","8,97,103.42"
419,SNO1000005,15-09-2022 00:12,238.5,236.5,236.8,105.1,109.3,110.7,76.02,76.6,1,0.98,0.99,1.6,1.1,1.5,0.8,1.21,0.73,418,406,412,50,"8,97,095.73",-,"9,09,832.65","1,38,70,605.00",4.59,"9,09,83,261.00",4,1.29,24.9,"1,38,70,605.00",3,"21,047.00","52,152.00",24.9,24.9,3.73,25.71,"8,97,09,556.00",-,24.96,25.36,1,9.61,4,3,654.38,654.85,655.19,652.28,"9,09,832.65","1,38,034.77","8,97,095.73"
420,SNO1000005,15-09-2022 00:10,238.9,236.4,237.1,107.6,102.4,112.4,75.61,75.9,1,0.99,0.99,1.3,1.5,1.4,0.87,1.34,0.69,419,406,413,50,"8,97,092.47",-,"9,09,829.37","1,38,70,567.00",3.5,"9,09,82,932.00",4,1.64,25.5,"1,38,70,567.00",3,"21,047.00","31,644.00",25.5,25.5,3.09,26.32,"8,97,09,230.00",-,25.53,23.76,1,8.24,4,3,654.37,654.84,655.19,652.28,"9,09,829.37","1,38,034.39","8,97,092.47"
421,SNO1000005,15-09-2022 00:07,238.5,236,236.8,120.3,97.3,97.1,73.49,73.9,1,0.99,0.99,1.8,1.9,1.6,0.72,1.46,0.76,416,406,412,50,"8,97,089.28",-,"9,09,826.15","1,38,70,535.00",3.25,"9,09,82,611.00",4,2.42,28.5,"1,38,70,535.00",3,"21,047.00","62,584.00",28.5,28.5,3.9,22.66,"8,97,08,911.00",-,28.48,22.35,1,9.56,4,3,654.42,654.88,655.24,652.28,"9,09,826.15","1,38,034.07","8,97,089.28"
422,SNO1000005,15-09-2022 00:03,238.3,234.9,235.8,120.3,132.6,124.9,88.14,88.7,1,0.99,0.99,1.6,1.5,1.5,0.76,1.14,0.7,415,406,408,50,"8,97,083.57",-,"9,09,820.39","1,38,70,462.00",3.92,"9,09,82,035.00",4,1.34,28.5,"1,38,70,462.00",3,"21,047.00","36,742.00",28.5,28.5,4.76,29.07,"8,97,08,340.00",-,28.53,30.55,1,10.01,4,3,654.5,654.93,655.32,652.28,"9,09,820.39","1,38,033.34","8,97,083.57"
